2025-02-01 15:05:30,399 - INFO - Pod: workload-1738422330, Node: normal-control-plane, Intensity: 355.73, Region: DE, Type: Planned
2025-02-01 15:05:30,704 - INFO - Pod: workload-1738422330, Node: normal-control-plane, Intensity: 355.73, Region: DE, Type: Actual
2025-02-01 15:05:40,874 - INFO - Pod: workload-1738422340, Node: normal-worker, Intensity: 289.62, Region: ERCOT, Type: Planned
2025-02-01 15:05:41,376 - INFO - Pod: workload-1738422340, Node: normal-worker, Intensity: 289.62, Region: ERCOT, Type: Actual
2025-02-01 15:05:51,328 - INFO - Pod: workload-1738422351, Node: normal-worker, Intensity: 289.62, Region: ERCOT, Type: Planned
2025-02-01 15:05:51,647 - INFO - Pod: workload-1738422351, Node: normal-worker, Intensity: 289.62, Region: ERCOT, Type: Actual
2025-02-01 15:06:01,576 - INFO - Pod: workload-1738422361, Node: normal-worker2, Intensity: 307.12, Region: NL, Type: Planned
2025-02-01 15:06:02,148 - INFO - Pod: workload-1738422361, Node: normal-worker2, Intensity: 307.12, Region: NL, Type: Actual
2025-02-01 15:06:12,033 - INFO - Pod: workload-1738422371, Node: normal-worker2, Intensity: 307.12, Region: NL, Type: Planned
2025-02-01 15:06:12,591 - INFO - Pod: workload-1738422371, Node: normal-worker2, Intensity: 307.12, Region: NL, Type: Actual
2025-02-01 15:06:22,459 - INFO - Pod: workload-1738422382, Node: normal-worker2, Intensity: 307.12, Region: NL, Type: Planned
2025-02-01 15:06:22,987 - INFO - Pod: workload-1738422382, Node: normal-worker2, Intensity: 307.12, Region: NL, Type: Actual
2025-02-01 15:06:32,904 - INFO - Pod: workload-1738422392, Node: normal-worker, Intensity: 297.48, Region: ERCOT, Type: Planned
2025-02-01 15:06:33,453 - INFO - Pod: workload-1738422392, Node: normal-worker, Intensity: 297.48, Region: ERCOT, Type: Actual
2025-02-01 15:06:43,327 - INFO - Pod: workload-1738422403, Node: normal-control-plane, Intensity: 377.71, Region: DE, Type: Planned
2025-02-01 15:06:43,848 - INFO - Pod: workload-1738422403, Node: normal-control-plane, Intensity: 377.71, Region: DE, Type: Actual
2025-02-01 15:06:53,770 - INFO - Pod: workload-1738422413, Node: normal-worker, Intensity: 297.48, Region: ERCOT, Type: Planned
2025-02-01 15:06:54,299 - INFO - Pod: workload-1738422413, Node: normal-worker, Intensity: 297.48, Region: ERCOT, Type: Actual
2025-02-01 15:07:04,244 - INFO - Pod: workload-1738422424, Node: normal-worker, Intensity: 307.01, Region: ERCOT, Type: Planned
2025-02-01 15:07:04,592 - INFO - Pod: workload-1738422424, Node: normal-worker, Intensity: 307.01, Region: ERCOT, Type: Actual
